Q_ID,Nodes_Amount
5239,6
913,17
205,11
2254,14
2007,13
1829,6
1144,5
840,9
4468,3
713,5
4838,15
3457,18
261,10
245,11
768,3
1792,8
1906,4
4140,9
4932,3
218,3
4598,11
1629,3
5324,10
4465,13
3437,15
1806,10
3680,13
4828,14
2279,13
54,9
1308,17
3463,11
2788,15
2277,17
1274,14
1764,11
2758,7
838,5
760,6
3113,10
793,5
2941,13
2818,11
4946,12
2167,16
356,21
3764,12
4393,12
1023,8
3101,9
646,8
4523,11
2402,15
5150,7
5067,5
2963,10
4730,5
1576,6
570,8
376,5
5418,11
1867,7
2371,7
654,10
1908,4
828,9
3114,5
2278,8
3715,10
5208,18
2989,15
1333,18
3033,11
2911,6
1717,12
2188,17
5309,10
585,14
4991,20
5202,16
1402,8
4376,16
2006,13
1339,3
3787,12
3109,13
2212,12
5243,7
4563,15
1800,13
2657,9
459,2
1877,6
263,11
2585,11
3287,6
2194,9
543,5
1729,4
4647,9
2578,14
1742,10
5370,11
4090,9
3242,5
5267,12
3759,19
1171,9
2170,8
2021,10
4599,10
4416,16
2153,10
4789,16
3510,16
4781,9
3272,4
2966,4
1797,6
1134,11
4175,13
4043,11
745,4
386,7
899,10
1253,8
5141,12
1311,13
3459,19
4886,14
521,8
3153,8
3127,3
4882,16
3835,18
4335,6
2060,11
4533,3
95,10
939,4
4399,14
2186,13
5251,10
2787,21
914,14
2405,3
3562,7
1296,16
3717,2
27,12
2158,3
4101,16
1464,14
4159,13
872,12
5123,13
2445,12
5235,15
4989,8
1630,10
3064,4
1324,18
4419,12
4345,15
5,11
4907,12
2656,15
4003,9
160,5
917,13
2974,10
2520,7
1962,7
475,9
1974,6
4648,13
702,7
3982,12
567,13
4364,10
1031,11
1052,11
5405,16
3894,7
4504,7
1353,17
2172,4
4323,15
4970,13
3467,10
1736,15
4418,3
1648,12
3269,13
3060,13
3589,7
4240,17
3699,15
992,17
2031,5
1841,4
525,7
2770,21
173,11
4820,14
4538,9
1886,5
4821,14
1805,5
59,4
582,7
5170,12
483,15
1876,7
258,3
2707,15
581,7
4212,21
1950,10
2282,7
3977,15
1756,6
1084,3
4678,10
4721,10
3873,9
1991,9
3875,16
3335,6
1560,10
773,9
795,2
5399,4
3532,13
2903,12
3470,17
3368,11
3826,14
444,5
5354,17
5294,12
807,3
497,12
3299,15
2780,4
896,10
2037,8
1570,12
1559,9
4394,14
3676,5
1149,13
1504,5
3790,13
2047,4
618,11
3631,3
4509,11
803,32
415,14
5343,8
4429,12
121,12
765,7
1937,11
1363,12
3330,13
3979,7
3944,13
1752,5
3286,11
481,15
1349,24
3105,4
18,2
3199,8
2173,6
3728,12
2337,10
3466,9
4553,12
5423,10
3987,9
1269,11
1556,6
2431,11
1784,17
480,10
4745,12
4442,3
500,9
2570,10
469,10
411,5
4786,12
3906,16
4120,6
4351,12
1290,10
466,12
4161,3
657,10
1523,5
562,11
4875,11
557,31
1927,12
3308,11
983,9
4667,11
2017,5
4743,10
4871,15
326,16
5074,12
672,7
3435,17
5386,8
4782,11
4631,17
4283,14
2592,12
2137,7
1674,13
2574,17
1956,3
2176,5
3243,12
1073,30
5288,9
2458,3
3746,12
